scope,day_of_week,hour,within_ad_schedule,scheduled_window,Impressions,Clicks,Cost,Conversions
LeadsSearch1_alldays_last60d,Wednesday,03,NO,07:00-20:00,4,1,3.43,0.0
LeadsSearch1_alldays_last60d,Wednesday,04,NO,07:00-20:00,17,1,1.18,0.0
LeadsSearch1_alldays_last60d,Wednesday,05,NO,07:00-20:00,26,0,0.0,0.0
LeadsSearch1_alldays_last60d,Wednesday,06,NO,07:00-20:00,23,2,4.18,1.0
LeadsSearch1_alldays_last60d,Wednesday,07,yes,07:00-20:00,92,8,13.71,1.0
LeadsSearch1_alldays_last60d,Wednesday,08,yes,07:00-20:00,67,5,15.154,1.0
LeadsSearch1_alldays_last60d,Wednesday,09,yes,07:00-20:00,102,7,13.8534,0.0
LeadsSearch1_alldays_last60d,Wednesday,10,yes,07:00-20:00,129,4,6.39,0.0
LeadsSearch1_alldays_last60d,Wednesday,11,yes,07:00-20:00,133,8,11.6957,0.0
LeadsSearch1_alldays_last60d,Wednesday,12,yes,07:00-20:00,99,9,15.0096,3.0
LeadsSearch1_alldays_last60d,Wednesday,13,yes,07:00-20:00,94,2,3.96,0.0
LeadsSearch1_alldays_last60d,Wednesday,14,yes,07:00-20:00,177,7,11.4805,1.0
LeadsSearch1_alldays_last60d,Wednesday,15,yes,07:00-20:00,210,6,11.6377,1.0
LeadsSearch1_alldays_last60d,Wednesday,16,yes,07:00-20:00,151,5,12.8061,1.0
LeadsSearch1_alldays_last60d,Wednesday,17,yes,07:00-20:00,61,1,0.61,0.0
LeadsSearch1_alldays_last60d,Wednesday,18,yes,07:00-20:00,81,8,18.0938,1.0
LeadsSearch1_alldays_last60d,Wednesday,19,yes,07:00-20:00,72,4,9.22,1.0
LeadsSearch1_alldays_last60d,Wednesday,20,NO,07:00-20:00,18,1,2.8,0.0
LeadsSearch1_alldays_last60d,Wednesday,21,NO,07:00-20:00,27,1,2.2,0.0
LeadsSearch1_alldays_last60d,Wednesday,22,NO,07:00-20:00,9,0,0.0,0.0
LeadsSearch1_alldays_last60d,Wednesday,23,NO,07:00-20:00,11,1,2.88,0.0
LeadsSearch1_alldays_last60d,Thursday,00,NO,07:00-20:00,40,2,1.928,1.0
LeadsSearch1_alldays_last60d,Thursday,01,NO,07:00-20:00,23,0,0.0,0.0
LeadsSearch1_alldays_last60d,Thursday,02,NO,07:00-20:00,12,0,0.0,0.0
LeadsSearch1_alldays_last60d,Thursday,03,NO,07:00-20:00,14,1,2.13,0.0
LeadsSearch1_alldays_last60d,Thursday,04,NO,07:00-20:00,16,0,0.0,0.0
LeadsSearch1_alldays_last60d,Thursday,05,NO,07:00-20:00,29,3,8.9069,0.0
LeadsSearch1_alldays_last60d,Thursday,06,NO,07:00-20:00,50,6,7.32,0.0
LeadsSearch1_alldays_last60d,Thursday,07,yes,07:00-20:00,80,5,7.95,0.0
LeadsSearch1_alldays_last60d,Thursday,08,yes,07:00-20:00,96,6,26.6434,1.0
LeadsSearch1_alldays_last60d,Thursday,09,yes,07:00-20:00,143,5,10.2,1.0
