Date,Campaignname,CampaignID,Campaignstatus,ConversionTrackerId,ConversionTypeName,ConversionCategory,ExternalConversionSource,Conversions,conversionsByConversionDate,EstimatedTotalConversions,allConversionsByConversionDate,ConversionValue,EstimatedTotalConversionValue,allConversionsValueByConversionDate,Viewthroughconversions,EstimatedCrossDeviceConversions
2025-06-17,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,4,3,4,3,4,4,3,0,0
2025-06-17,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,2,2,2,2,2,2,0,0
2025-06-17,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,2,2,2,2,2,2,2,0,0
2025-06-17,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-06-18,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,3,3,3,3,3,3,3,0,0
2025-06-18,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-18,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,2,2,2,2,2,2,2,0,0
2025-06-18,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-06-18,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,2,2,0,2,2,0,0
2025-06-19,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,1,0,1,0,0,1,0,0
2025-06-19,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-19,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,0,0,1,0,0,0
2025-06-19,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,18,17,0,18,17,0,0
2025-06-19,Campaign #1,22625352639,paused,7180867432,Local actions - Directions,Get directions,Google hosted,0,0,2,2,0,2,2,0,0
2025-06-20,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,1,0,1,0,0,1,0,0
2025-06-20,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,5,4,5,4,5,5,4,0,0
2025-06-21,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,1,1,1,1,1,1,0,0
2025-06-21,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-22,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,1,0,1,0,0,1,0,0
2025-06-23,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,0,1,0,1,1,0,0,0
2025-06-23,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,0,1,0,0,1,0,0
2025-06-24,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-24,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,2,1,2,1,1,2,0,0
2025-06-26,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,1,0,1,0,0,1,0,0
2025-06-26,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,0,1,0,0,1,0,0
2025-06-27,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,1,1,1,1,1,1,0,0
2025-06-27,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-06-28,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-29,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,5,5,5,5,5,5,5,0,0
2025-06-29,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,2,2,2,2,2,2,0,0
2025-06-29,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-29,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,2,1,2,1,2,2,1,0,0
2025-06-30,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,20,9,20,9,20,20,9,0,0
2025-06-30,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,4,0,4,0,4,4,0,0,0
2025-06-30,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,64,28,68,28,64,68,28,0,0
2025-07-01,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,42,45,42,45,42,42,45,0,0
2025-07-01,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,4,8,4,8,4,4,8,0,0
2025-07-01,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,2,2,2,2,2,2,2,0,0
2025-07-01,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,149.02,174,155.02,174,149.02,155.02,174,0,0
2025-07-02,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,62,56,62,56,62,62,56,0,0
2025-07-02,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,3,3,3,3,3,3,3,0,0
2025-07-02,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,4,2,4,2,4,4,2,0,0
2025-07-02,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,154.02,131,156.02,131,154.02,156.02,131,0,0
2025-07-03,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,22,30,22,30,22,22,30,0,0
2025-07-03,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-03,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,3,1,3,1,1,3,0,0
2025-07-03,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,52.98,75,55.98,75,52.98,55.98,75,0,0
2025-07-04,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,170.5,110,170.5,110,170.5,170.5,110,0,0
2025-07-04,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,10,5,10,5,10,10,5,0,0
2025-07-04,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,5,2,5,2,5,5,2,0,0
2025-07-04,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,289.25,221,293.25,221,289.25,293.25,221,0,0
