Yearmonth,Campaignname,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,HistoricalSearchPredictedCtr,HistoricalCreativeQualityScore,HistoricalLandingPageQualityScore,HistoricalQualityScore,HistoricalSearchPredictedCtr_metric,HistoricalCreativeQualityScore_metric,HistoricalLandingPageQualityScore_metric,Impressions,Clicks,Cost,Conversions
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Below average,Average,Above average,6,-1,1,2,43,5,17.1632,4
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Below average,Average,Above average,6,-1,1,2,417,43,107.706,7
2026|05,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka health,891630859085,Exact,enabled,,,,0,,,,2,1,0.01,0
2026|05,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka natural health,700161616745,Phrase,enabled,Above average,Above average,Above average,10,2,2,2,2,0,0,0
2026|05,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka natural health,817739186789,Exact,removed,Above average,Above average,Above average,10,2,2,2,17,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,alternative medicine doctors near me,296836537601,Broad,enabled,,,,0,,,,1,0,0,0
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,dr haley panka,2484456293679,Exact,enabled,,,,0,,,,2,1,7.1989,4
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,dr jacob panka,1997189022924,Exact,enabled,,,,0,,,,6,2,5.37,0
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,dr panka,933585970059,Exact,enabled,Average,Below average,Above average,6,1,-1,2,5,2,5.13,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine,10957761,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,28,3,18.8192,0.02
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine clinic near me,629327041832,Broad,enabled,Below average,Average,Average,,-1,1,1,0,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine near me,325505212743,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,2,0,0,0
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,haley panka,584357309429,Phrase,enabled,Average,Below average,Above average,6,1,-1,2,13,2,5.39,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,holistic dr near me,296740931208,Broad,enabled,,,,0,,,,2,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,,,,0,,,,7,1,5.24,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,integrative health near me,807046778385,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,8,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,jacob panka,569752648940,Phrase,enabled,,,,0,,,,3,2,10.501,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
