Campaignname,CampaignID,AssetGroupID,AssetGroupName,AssetGroupStatus,AssetID,AssetFieldType,AssetType,AssetSource,AssetText,YouTubeVideoID,YouTubeVideoTitle,FullSizeImageURL
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258739881888,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/7016316913073726673
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258739892010,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/4555561091855912245
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258739936056,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/7116242976609247799
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258740010048,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/10535906788799697323
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258740049138,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/7888307343279308155
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258740125833,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/12409498099987533046
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258740125836,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/3183926705549755333
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258740125863,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/13422987080675666497
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258740141967,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/1382675909220153769
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,259808995564,Description,Text,Advertiser,"Autoimmune, GI, hormone help without drugs. Hopkins experts.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,270163982756,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/4213848613206383264
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,270241016893,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/3719112441908299056
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,270241016917,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/12754121246613000466
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,270247586242,Headline,Text,Advertiser,West Metro Naturopathic Drs.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,270251688993,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/2567197029820931739
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,270258508122,Headline,Text,Advertiser,Your Path to Better Health,,,
