Yearmonth,Campaignname,CampaignID,Campaignstatus,Adgroupname,AdgroupID,Adgroupstatus,AdID,Adtype,Adstatus,Adapprovalstatus,ad_strength,finalURL,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion,ConversionRate,ConversionValue,AllConversions,FirstServedDate,LastServedDate,DaysServed
2026-08,Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,812704345088,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/,167,18,38.59,0.1078,2.0,19.295,0.1111,65.0,10.0,2026-08-01,2026-08-31,28
2026-08,Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,812601575949,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/mens-health,162,13,15.525,0.0802,2.0,7.7625,0.1538,65.0,4.0,2026-08-01,2026-08-31,29
2026-08,Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,817157424693,Responsive search ad,Enabled,Approved,Poor,https://www.pankanaturalhealth.com/mens-health,94,11,13.711,0.117,0.0,,0.0,0.0,1.0,2026-08-01,2026-08-12,11
2026-08,Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,817157599125,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,57,1,2.21,0.0175,0.0,,0.0,0.0,1.0,2026-08-01,2026-08-12,8
2026-09,Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,812704389533,Responsive search ad,Enabled,Approved (limited),Average,https://www.pankanaturalhealth.com/womens-health-services,479,19,47.81,0.0397,0.0,,0.0,0.0,4.0,2026-09-01,2026-09-07,7
2026-09,Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,812633205835,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,368,14,23.92,0.038,1.0,23.92,0.0714,0.0,4.0,2026-09-01,2026-09-08,8
2026-09,Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,812601520263,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/pediatrics,142,3,5.4162,0.0211,0.0,,0.0,0.0,1.0,2026-09-01,2026-09-08,8
2026-09,Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,817157827140,Responsive search ad,Enabled,Approved,Average,https://www.pankanaturalhealth.com/pediatrics,119,1,2.33,0.0084,0.0,,0.0,0.0,0.0,2026-09-01,2026-09-08,8
2026-09,Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,817195852465,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,112,6,8.99,0.0536,0.0,,0.0,0.0,0.0,2026-09-01,2026-09-08,8
2026-09,Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,812704381343,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,83,6,12.2,0.0723,0.0,,0.0,0.0,3.0,2026-09-01,2026-09-08,8
2026-09,Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,812704345088,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/,24,1,1.8,0.0417,0.0,,0.0,0.0,3.0,2026-09-01,2026-09-08,6
2026-09,Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,812601575949,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/mens-health,8,0,0.0,0.0,0.0,,,0.0,0.0,2026-09-01,2026-09-06,4
