Date,Yearmonth,DayOfWeek,Campaignname,CampaignID,Campaignstatus,CampaignPrimaryStatusReasons,assetGroupId,assetGroupName,assetGroupStatus,ad_strength,ConversionTypeName,ConversionCategory,ConversionTrackerId,Conversions,ConversionValue,AllConversions,AllConversionValue,CrossDeviceConversions
2025-06-16,2025|06,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Other engagements,Engagement,7160506736,0.0,0.0,4.0,4.0,0.0
2025-06-16,2025|06,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,1.0,1.0,1.0,1.0,0.0
2025-06-16,2025|06,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,1.0,1.0,0.0
2025-06-17,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,4.0,4.0,4.0,4.0,0.0
2025-06-17,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Website visits,Page view,7157480846,0.0,0.0,1.0,1.0,0.0
2025-06-17,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,2.0,2.0,2.0,2.0,0.0
2025-06-17,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,2.0,2.0,2.0,2.0,0.0
2025-06-18,2025|06,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,3.0,3.0,3.0,3.0,0.0
2025-06-18,2025|06,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Other engagements,Engagement,7160506736,0.0,0.0,2.0,2.0,0.0
2025-06-18,2025|06,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Website visits,Page view,7157480846,0.0,0.0,1.0,1.0,0.0
2025-06-18,2025|06,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,1.0,1.0,1.0,1.0,0.0
2025-06-18,2025|06,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,2.0,2.0,2.0,2.0,0.0
2025-06-19,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Directions,Get directions,7180867432,0.0,0.0,2.0,2.0,0.0
2025-06-19,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Other engagements,Engagement,7160506736,0.0,0.0,18.0,18.0,0.0
2025-06-19,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Website visits,Page view,7157480846,0.0,0.0,1.0,1.0,0.0
2025-06-19,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,1.0,1.0,1.0,1.0,0.0
2025-06-20,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,5.0,5.0,5.0,5.0,0.0
2025-06-21,2025|06,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,1.0,1.0,1.0,1.0,0.0
2025-06-21,2025|06,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,1.0,1.0,0.0
2025-06-23,2025|06,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,1.0,1.0,0.0
2025-06-24,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-06-24,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,1.0,1.0,0.0
2025-06-27,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,1.0,1.0,1.0,1.0,0.0
2025-06-27,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Website visits,Page view,7157480846,0.0,0.0,1.0,1.0,0.0
2025-06-28,2025|06,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,1.0,1.0,0.0
2025-06-29,2025|06,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,5.0,5.0,5.0,5.0,0.0
2025-06-29,2025|06,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,2.0,2.0,2.0,2.0,0.0
2025-06-29,2025|06,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-06-29,2025|06,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,2.0,2.0,2.0,2.0,0.0
2025-06-30,2025|06,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,20.0,20.0,20.0,20.0,0.0
2025-06-30,2025|06,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,4.0,4.0,4.0,4.0,0.0
2025-06-30,2025|06,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,64.0,64.0,68.0,68.0,0.0
2025-07-01,2025|07,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,42.0,42.0,42.0,42.0,0.0
2025-07-01,2025|07,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,4.0,4.0,4.0,4.0,0.0
2025-07-01,2025|07,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,2.0,2.0,2.0,2.0,0.0
2025-07-01,2025|07,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,149.02,149.02,155.02,155.02,0.0
2025-07-02,2025|07,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,62.0,62.0,62.0,62.0,0.0
