Date,Campaignname,CampaignID,AdvertisingChannelType,AdvertisingChannelSubType,Campaignstatus,CampaignServingStatus,CampaignBidStrategyStatus,Currencycode,Timezone,ConfiguredBudget,BudgetName,BudgetId,BudgetStatus,BudgetPeriod,IsBudgetExplicitlyShared,CampaignMobileBidModifier,Impressions,Clicks,Cost,Ctr,CPC,CPM,interactions,Conversions,CostPerConversion,ConversionRate,conversionsByConversionDate,allConversionsByConversionDate,EstimatedCrossDeviceConversions,ROAS,Invalidclicks,SearchImpressionShare,SearchImpressionShareRaw,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchExactMatchImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,SearchClickShare,EligibleSearchClicks,LostSearchClicks,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToBudget,LostImpressionsDueToRank,dailybudget,Budget,budgetUsedPortion
2025-07-07,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,8389,269,55.3267,0.0321,0.2057,6.5951,801,49,1.1291,0.1822,92,144,0,0.8856,19,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,2693,2424,0,0,0,0,6,6,9.2211
2025-07-08,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,3747,179,29.164,0.0478,0.1629,7.7833,309,18,1.6202,0.1006,29,48,0,0.6172,6,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,1792,1613,0,0,0,0,6,6,4.8607
2025-07-08,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,1,1,0.6,1,0.6,600,1,1,0.6,1,1,1,0,1.6667,0,0.0999,0.0999,0,0.9001,0.1,0,0.0999,0.9,0,0,0,0.0999,10,9,10,9,0,9,15,15,0.04
2025-07-09,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,1,0,0,0,,0,0,0,,,4,12,0,,0,,0.0999,,,0,0,0.0999,0,0,0,0,,,,0,0,0,0,6,6,0
2025-07-09,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,34,2,2.92,0.0588,1.46,85.8824,2,1,2.92,0.5,1,1,0,0.3425,2,0.1169,0.1169,0,0.8831,0.11,0.0999,0.2,0.89,0.9,0,0,0.0999,20,18,274,242,0,242,15,15,0.1947
2025-07-10,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,17,0,0.0165,0,,0.9704,0,0,,,3,7,0,0,0,,0.0999,,,0,0,0.0999,0,0,0,0,,,,0,0,0,0,6,6,0.0027
2025-07-10,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,74,9,13.1546,0.1216,1.4616,177.7653,9,1,13.1546,0.1111,1,2,0,0.076,0,0.1275,0.1275,0,0.8725,0.1,0.0999,0.1724,0.9,0.9,0,0,0.0999,90,81,557,486,0,486,15,15,0.877
2025-07-11,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,78,1,0.1621,0.0128,0.1621,2.0787,4,0,,0,1,5,0,0,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,10,9,0,0,0,0,6,6,0.027
2025-07-11,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,178,13,27.3625,0.073,2.1048,153.7221,13,3,9.1208,0.2308,2,4,0,0.1096,3,0.209,0.209,0,0.791,0.15,0.0999,0.4167,0.85,0.9,0,0,0.1625,80,67,813,643,0,643,15,15,1.8242
2025-07-12,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,2979,76,23.9313,0.0255,0.3149,8.0333,918,20,1.1966,0.2632,18,46,0,0.8357,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,761,685,0,0,0,0,6,6,3.9885
