yearMonth,newVsReturning,sessions,newUsers,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews,totalUsers_sum_NOT_DEDUPED
2024|09,returning,137,0,77,0.562,0.438,1,270,72
2024|10,(not set),55,0,0,0.0,1.0,20,45,34
2024|10,new,472,473,200,0.4237,0.5763,0,775,472
2024|10,returning,172,0,110,0.6395,0.3605,1,584,68
2024|11,(not set),49,0,0,0.0,1.0,12,41,29
2024|11,new,488,487,215,0.4406,0.5594,3,752,488
2024|11,returning,157,0,101,0.6433,0.3567,0,542,55
2024|12,(not set),48,0,0,0.0,1.0,0,42,25
2024|12,new,349,348,171,0.49,0.51,18,568,349
2024|12,returning,102,0,56,0.549,0.451,7,197,60
2025|01,(not set),62,0,1,0.0161,0.9839,1,54,31
2025|01,new,331,331,185,0.5589,0.4411,13,605,331
2025|01,returning,136,0,79,0.5809,0.4191,5,313,64
2025|02,(not set),62,0,3,0.0484,0.9516,1,54,27
2025|02,new,285,285,184,0.6456,0.3544,20,545,285
2025|02,returning,178,0,116,0.6517,0.3483,9,453,61
2025|03,(not set),84,0,2,0.0238,0.9762,1,68,44
2025|03,new,259,259,162,0.6255,0.3745,17,520,259
2025|03,returning,195,0,122,0.6256,0.3744,5,468,52
2025|04,(not set),74,0,2,0.027,0.973,0,61,37
2025|04,new,213,213,131,0.615,0.385,11,454,213
2025|04,returning,162,0,105,0.6481,0.3519,10,473,58
2025|05,(not set),65,0,1,0.0154,0.9846,1,52,38
2025|05,new,265,265,131,0.4943,0.5057,10,454,265
2025|05,returning,109,0,71,0.6514,0.3486,6,211,53
2025|06,(not set),70,0,2,0.0286,0.9714,0,61,37
2025|06,new,591,603,273,0.4619,0.5381,23,955,590
2025|06,returning,182,0,113,0.6209,0.3791,15,575,64
2025|07,(not set),198,0,7,0.0354,0.9646,0,196,136
2025|07,new,3056,3065,589,0.1927,0.8073,26,3748,3040
2025|07,returning,296,0,106,0.3581,0.6419,11,448,213
2025|08,(not set),81,0,0,0.0,1.0,0,70,38
2025|08,new,485,485,337,0.6948,0.3052,19,1011,485
2025|08,returning,132,0,72,0.5455,0.4545,3,274,75
2025|09,(not set),56,0,1,0.0179,0.9821,0,42,33
2025|09,new,252,252,173,0.6865,0.3135,24,600,252
2025|09,returning,140,0,85,0.6071,0.3929,5,284,76
2025|10,(not set),62,0,0,0.0,1.0,0,52,34
2025|10,new,838,837,704,0.8401,0.1599,18,1597,838
2025|10,returning,191,0,121,0.6335,0.3665,9,386,79
2025|11,(not set),76,0,3,0.0395,0.9605,2,66,34
2025|11,new,332,327,176,0.5301,0.4699,19,651,332
2025|11,returning,197,0,125,0.6345,0.3655,16,630,88
2025|12,(not set),36,0,1,0.0278,0.9722,0,31,26
2025|12,new,253,247,125,0.4941,0.5059,11,445,253
2025|12,returning,104,0,58,0.5577,0.4423,4,175,52
2026|01,(not set),48,0,0,0.0,1.0,0,36,28
2026|01,new,442,439,166,0.3756,0.6244,25,737,442
2026|01,returning,151,0,84,0.5563,0.4437,12,228,65
2026|02,(not set),52,0,1,0.0192,0.9808,0,45,31
2026|02,new,376,373,171,0.4548,0.5452,27,730,376
2026|02,returning,94,0,58,0.617,0.383,7,171,56
2026|03,(not set),71,0,0,0.0,1.0,4,60,37
2026|03,new,445,441,200,0.4494,0.5506,23,825,445
2026|03,returning,122,0,74,0.6066,0.3934,4,246,66
2026|04,(not set),33,0,0,0.0,1.0,36,23,59
2026|04,new,417,415,202,0.4844,0.5156,37,817,417
2026|04,returning,137,0,84,0.6131,0.3869,15,312,68
2026|05,(not set),70,0,0,0.0,1.0,12,59,71
2026|05,new,493,492,269,0.5456,0.4544,44,991,493
2026|05,returning,233,0,142,0.6094,0.3906,19,662,84
2026|06,(not set),42,0,0,0.0,1.0,21,26,48
2026|06,new,582,578,239,0.4107,0.5893,76,884,582
2026|06,returning,224,0,158,0.7054,0.2946,115,764,66
2026|07,(not set),64,0,8,0.125,0.875,24,48,67
2026|07,new,927,921,495,0.534,0.466,180,1595,928
2026|07,returning,244,0,147,0.6025,0.3975,98,453,111
2026|08,(not set),40,0,6,0.15,0.85,28,33,57
2026|08,new,788,786,449,0.5698,0.4302,141,1292,788
2026|08,returning,195,0,122,0.6256,0.3744,78,413,95
2026|09,,2,0,0,0.0,1.0,2,1,4
2026|09,(not set),14,0,3,0.2143,0.7857,4,13,13
2026|09,new,125,125,71,0.568,0.432,26,225,125
2026|09,returning,32,1,18,0.5625,0.4375,9,56,26
