Campaignname,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,SystemServingStatus,MaxCPCCurrency,LifetimeCost,LifetimeClicks,LifetimeImpressions,LifetimeConversions,LifetimeAllConversions,Ctr,CPC,Qualityscore,impressions_but_never_clicked,never_served,can_serve_today,months_active,first_month,last_month
Leads-Search-1,Men's Health,201177674047,enabled,men's physician near me,827344859410,Broad,paused,Eligible,1.3,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Men's Health,201177674047,enabled,naturopath for men's health,1661929765868,Broad,removed,,0,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,best naturopathic doctor near me,296836537841,Broad,enabled,Eligible,2.5,0,0,0,0,0,,,,,YES,YES,0,,
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,naturopath for allergies,352183546927,Broad,enabled,Eligible,2.5,0,0,0,0,0,,,,,YES,YES,0,,
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,naturopathic doctor near me,296621012791,Broad,removed,,0,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,naturopathic family medicine,302483789996,Broad,enabled,Eligible,2.5,0,0,0,0,0,,,,,YES,YES,0,,
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,PCOS naturopath near me,1645808761396,Phrase,enabled,Eligible,2.6,0,0,0,0,0,,,,,YES,YES,0,,
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,natural help for perimenopause,298837563965,Broad,removed,,0,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for hormone imbalance,385113812838,Phrase,enabled,Eligible,2.6,0,0,0,0,0,,,,,YES,YES,0,,
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for pcos,314620853198,Broad,removed,,0,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for thyroid,401323500207,Broad,removed,,0,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for women's health,1185234437233,Phrase,enabled,Eligible,2.6,0,0,0,0,0,,,,,YES,YES,0,,
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,thyroid doctor near me,306844731577,Phrase,enabled,Eligible,2.6,0,0,0,0,0,,,,,YES,YES,0,,
